# x y rho rho*u rho*v rho*E
           1            0      1.34078     0.746957  4.35865e-05      5.94926
    0.993927 -0.000863588       1.3348     0.757521     0.096202      5.88791
    0.987105  -0.00181476      1.32422     0.778079     0.107333      5.80495
    0.979548  -0.00286486      1.31316     0.795303     0.109848      5.72893
    0.971138  -0.00402188      1.30132     0.808891     0.110752      5.65276
    0.961878  -0.00528228      1.29128     0.819459     0.111109      5.58986
    0.956863  -0.00595893      1.28343     0.827529     0.111322      5.54129
    0.951587  -0.00666624       1.2773     0.833832     0.111442      5.50365
    0.946069  -0.00740135      1.27293     0.838728     0.111346      5.47699
    0.940285  -0.00816656      1.27001     0.842477     0.111048      5.45916
    0.934214  -0.00896414      1.26826     0.845343     0.110588      5.44844
    0.927833  -0.00979614      1.26747     0.847541     0.110005      5.44347
    0.921143   -0.0106617      1.26741     0.849238     0.109329      5.44299
    0.914163   -0.0115575      1.26791     0.850575     0.108581      5.44584
     0.90687   -0.0124855       1.2688     0.851668     0.107772      5.45105
    0.899241   -0.0134478      1.26996     0.852606     0.106915      5.45784
    0.891252   -0.0144463      1.27129     0.853452     0.106019      5.46569
    0.882937   -0.0154758      1.27273     0.854251     0.105083      5.47424
    0.874285   -0.0165362      1.27426     0.855027     0.104109      5.48327
    0.865265   -0.0176304      1.27583     0.855799     0.103101      5.49261
    0.855861   -0.0187589      1.27743      0.85658     0.102061       5.5021
    0.846118   -0.0199151      1.27904     0.857381     0.100987      5.51165
    0.836006   -0.0211013      1.28064     0.858213    0.0998808      5.52115
    0.825493   -0.0223196      1.28222     0.859086    0.0987405      5.53054
    0.814632   -0.0235623      1.28377     0.860012    0.0975675      5.53975
    0.803397    -0.024831      1.28529     0.860999    0.0963625      5.54878
    0.791767   -0.0261265       1.2868     0.862055    0.0951218      5.55774
    0.779797   -0.0274409      1.28831     0.863182    0.0938444      5.56674
     0.76744   -0.0287775      1.28985     0.864387    0.0925309      5.57588
    0.754737   -0.0301304      1.29143     0.865673    0.0911759      5.58529
    0.741687   -0.0314974      1.29306     0.867047     0.089777      5.59505
    0.728282   -0.0328778      1.29477      0.86851    0.0883312      5.60528
    0.714568   -0.0342646      1.29658      0.87006    0.0868341      5.61609
    0.700516   -0.0356586       1.2985     0.871689     0.085282      5.62757
    0.686185   -0.0370519      1.30054     0.873384     0.083667      5.63985
     0.67155   -0.0384446      1.30272     0.875135    0.0819823      5.65299
    0.656669   -0.0398288      1.30506     0.876929    0.0802205      5.66705
    0.641525   -0.0412038      1.30754     0.878754    0.0783722      5.68203
    0.626172   -0.0425619      1.31016       0.8806    0.0764297       5.6979
    0.610605   -0.0439011      1.31292     0.882464    0.0743851      5.71459
    0.594873   -0.0452147      1.31578     0.884346    0.0722306      5.73202
    0.578982   -0.0464992      1.31876      0.88625    0.0699564      5.75011
    0.562971   -0.0477487      1.32182     0.888182    0.0675529      5.76882
    0.546862   -0.0489589      1.32497     0.890148    0.0650126      5.78807
    0.530684   -0.0501245      1.32819      0.89215    0.0623263      5.80779
    0.514467   -0.0512406      1.33146     0.894187    0.0594853      5.82794
    0.498239   -0.0523027       1.3348      0.89625    0.0564802       5.8485
    0.482028    -0.053306      1.33819     0.898328    0.0533012      5.86946
    0.465866    -0.054246      1.34163     0.900403    0.0499398      5.89082
    0.449777   -0.0551189      1.34513     0.902451    0.0463883      5.91261
    0.433796   -0.0559202      1.34868     0.904443     0.042639      5.93483
     0.41794    -0.056647      1.35228     0.906349     0.038686      5.95745
    0.402249   -0.0572957      1.35592     0.908146    0.0345246       5.9804
    0.386733    -0.057864      1.35958     0.909817      0.03015      6.00358
    0.371432   -0.0583491      1.36324     0.911357    0.0255588      6.02691
    0.356354   -0.0587497      1.36688     0.912769    0.0207476      6.05026
    0.341537   -0.0590641      1.37047     0.914073    0.0157144      6.07342
     0.32698   -0.0592918      1.37397     0.915299    0.0104539      6.09621
    0.312727   -0.0594321      1.37737     0.916482   0.00496245      6.11856
    0.298764   -0.0594854       1.3807     0.917644 -0.000759582      6.14068
    0.285143   -0.0594524      1.38402      0.91878   -0.0067143      6.16295
    0.271835    -0.059334       1.3874     0.919858   -0.0128999      6.18586
    0.258889    -0.059132      1.39093     0.920822   -0.0193145      6.20993
    0.246293   -0.0588482      1.39464     0.921596   -0.0259501      6.23548
     0.23405   -0.0584845      1.39855       0.9221    -0.032801      6.26261
      0.2222   -0.0580448      1.40264     0.922266   -0.0398633      6.29122
    0.210706   -0.0575304      1.40685     0.922039   -0.0471288      6.32095
    0.199585    -0.056945      1.41109     0.921383   -0.0545973      6.35139
    0.188865   -0.0562936      1.41532     0.920266   -0.0622591      6.38218
    0.178512   -0.0555776      1.41948     0.918659   -0.0700964      6.41307
    0.168525   -0.0548004      1.42353     0.916541   -0.0781062      6.44384
    0.158921   -0.0539673      1.42744     0.913922   -0.0862909      6.47439
    0.149706   -0.0530832      1.43128     0.910834    -0.094647      6.50502
     0.14085   -0.0521491      1.43514     0.907307    -0.103167      6.53646
    0.132346   -0.0511686      1.43914     0.903348    -0.111852      6.56942
    0.124197   -0.0501463      1.44336     0.898951    -0.120707      6.60448
    0.116402   -0.0490862      1.44794     0.894102    -0.129731      6.64243
    0.108956   -0.0479923      1.45301     0.888758    -0.138905      6.68426
    0.101848   -0.0468679      1.45872     0.882864    -0.148171      6.73083
   0.0950675   -0.0457156      1.46509     0.876298    -0.157512      6.78244
   0.0886009   -0.0445376      1.47204     0.868956    -0.166976       6.8387
   0.0824392   -0.0433365      1.47951     0.860828    -0.176579      6.89936
   0.0765768   -0.0421156      1.48751     0.851911    -0.186316      6.96447
   0.0710042   -0.0408772      1.49599     0.842182    -0.196186      7.03375
    0.065713   -0.0396238      1.50487     0.831635    -0.206206      7.10685
   0.0606934   -0.0383573      1.51419     0.820259    -0.216377       7.1839
   0.0559355   -0.0370794      1.52401     0.808011    -0.226686      7.26541
   0.0514304   -0.0357918      1.53442     0.794818    -0.237105       7.3519
   0.0471676   -0.0344955      1.54544     0.780597    -0.247616      7.44355
   0.0431371   -0.0331911      1.55705     0.765269     -0.25821      7.54024
   0.0393302   -0.0318795      1.56925     0.748755    -0.268877        7.642
   0.0357457   -0.0305641      1.58221     0.730934    -0.279546      7.75009
   0.0323759    -0.029246      1.59635     0.711627     -0.29008      7.86726
   0.0292132   -0.0279262      1.61208     0.690723    -0.300315      7.99634
   0.0262482   -0.0266046      1.62918     0.668063    -0.310197      8.13596
   0.0234718    -0.025281      1.64759     0.643578    -0.319702      8.28554
   0.0208714   -0.0239524       1.6677     0.617144     -0.32864       8.4477
   0.0184371    -0.022616      1.68957     0.588541    -0.336774       8.6231
   0.0161741    -0.021277      1.71302     0.557662    -0.343778      8.81048
   0.0140878   -0.0199426      1.73779     0.524559    -0.349336      9.00816
   0.0121676    -0.018611      1.76386     0.489255    -0.353126      9.21595
   0.0104019   -0.0172781      1.79109      0.45172    -0.354928      9.43267
  0.00877999   -0.0159379      1.81952     0.411932    -0.354437      9.65846
  0.00730267   -0.0145919      1.84945     0.369867    -0.351245       9.8952
  0.00598617   -0.0132604      1.88521     0.324474       -0.344      10.1753
  0.00481744   -0.0119392      1.94338     0.269576    -0.328177      10.6254
  0.00288349  -0.00930328      2.01386     0.200774    -0.298194      11.1738
   0.0015016   -0.0067572      2.07359     0.128949    -0.248104       11.643
 0.000605628  -0.00431673        2.116     0.070476    -0.177487      11.9766
 0.000135675  -0.00205463      2.13518    0.0334919   -0.0944049      12.1266
           0            0      2.13951    0.0207177  -0.00514323      12.1588
 0.000135645   0.00205549      2.13744    0.0320753    0.0842503      12.1388
 0.000605419   0.00431899      2.12124    0.0678283     0.167732      12.0056
   0.0014974   0.00674994      2.08313     0.125947     0.239889      11.6974
  0.00289024   0.00931457      2.02559     0.198541     0.293263      11.2384
  0.00481145    0.0119343      1.95491     0.268739     0.326296      10.6853
   0.0059935    0.0132704      1.89688     0.324955     0.343634      10.2359
  0.00731802    0.0146072      1.86086     0.371158      0.35192      9.95461
  0.00877714    0.0159355      1.83114     0.413496     0.355801      9.72093
   0.0103903    0.0172701      1.80339     0.453661     0.356664      9.50211
   0.0121676    0.0186127      1.77623     0.491892     0.355088      9.28781
   0.0141048    0.0199552      1.74983       0.5279     0.351402      9.07958
   0.0161979     0.021292      1.72473     0.561446     0.345975      8.88137
   0.0184445    0.0226203      1.70134     0.592491      0.33911      8.69617
   0.0208599    0.0239467       1.6798     0.621221     0.331052      8.52462
   0.0234627    0.0252773      1.65995     0.647842     0.322036      8.36543
   0.0262532    0.0266079       1.6416      0.67252     0.312354      8.21723
   0.0292331    0.0279355      1.62457     0.695391     0.302259      8.07861
   0.0324057    0.0292585      1.60886     0.716642     0.291935      7.94963
   0.0357768    0.0305761      1.59447     0.736267      0.28142      7.83076
   0.0393533    0.0318878      1.58122     0.754358     0.270766      7.72082
   0.0431441    0.0331935      1.56852     0.771174     0.260141      7.61577
   0.0471643    0.0344945      1.55603     0.786856     0.249605      7.51316
   0.0514234    0.0357899      1.54374     0.801433      0.23914      7.41311
   0.0559282    0.0370777       1.5318      0.81488     0.228729      7.31664
   0.0606869    0.0383559      1.52044      0.82717     0.218362      7.22513
    0.065708    0.0396228      1.50979     0.838309     0.208042      7.13958
   0.0710005    0.0408766      1.49996     0.848336     0.197785      7.06051
   0.0765737    0.0421151      1.49096     0.857333     0.187618      6.98797
   0.0824372    0.0433362      1.48273     0.865413     0.177573      6.92142
   0.0886012    0.0445377      1.47515     0.872685     0.167684      6.86005
   0.0950763    0.0457172       1.4681     0.879208     0.157971      6.80307
    0.101874    0.0468722      1.46157     0.885007     0.148424      6.75031
    0.108996    0.0479985      1.45566     0.890169     0.138994       6.7022
    0.116447    0.0490926      1.45038     0.894802     0.129686      6.65885
    0.124234    0.0501512      1.44565     0.898979     0.120554      6.61971
    0.132368    0.0511714      1.44134     0.902772     0.111616      6.58392
    0.140859    0.0521502      1.43733     0.906235     0.102869      6.55063
    0.149725     0.053085      1.43348     0.909405    0.0943129      6.51909
    0.158968    0.0539717      1.42967     0.912293    0.0859532      6.48845
    0.168565    0.0548039      1.42577     0.914874    0.0777909      6.45789
    0.178531    0.0555791      1.42171     0.917108    0.0698167      6.42699
    0.188887    0.0562951       1.4175     0.918966    0.0620251      6.39568
    0.199635     0.056948      1.41313     0.920439    0.0544199      6.36398
    0.210738    0.0575321      1.40865     0.921508    0.0470079      6.33207
    0.222223    0.0580457      1.40413     0.922144    0.0397922      6.30039
    0.234102    0.0584863       1.3997     0.922339    0.0327727      6.26962
    0.246325    0.0588491      1.39543      0.92211    0.0259512      6.24029
    0.258924    0.0591327      1.39139     0.921509    0.0193348      6.21274
    0.271883    0.0593346      1.38759     0.920615    0.0129323        6.187
    0.285171    0.0594526        1.384     0.919511   0.00674903      6.16282
    0.298816    0.0594854      1.38056     0.918273  0.000793525      6.13979
    0.312761    0.0594319      1.37719     0.916955   -0.0049338      6.11742
    0.327031    0.0592911      1.37382      0.91559   -0.0104326      6.09531
    0.341575    0.0590634      1.37043     0.914189   -0.0157015      6.07317
    0.356403    0.0587486      1.36698     0.912743   -0.0207433      6.05085
    0.371473     0.058348      1.36347     0.911236   -0.0255615      6.02833
    0.386781    0.0578623      1.35992      0.90965   -0.0301582      6.00567
     0.40229    0.0572941      1.35634     0.907972   -0.0345373      5.98294
    0.417988    0.0566449      1.35273     0.906197   -0.0387032      5.96019
    0.433837    0.0559182      1.34911     0.904329   -0.0426597      5.93746
    0.449823    0.0551164      1.34549     0.902383   -0.0464115      5.91481
    0.465908    0.0542437      1.34187     0.900376   -0.0499633      5.89232
    0.482073    0.0533033      1.33828      0.89833    -0.053323      5.87005
    0.498282       0.0523      1.33473     0.896269   -0.0564991      5.84806
     0.51451    0.0512378      1.33122     0.894212   -0.0594996      5.82643
    0.530727    0.0501215      1.32777     0.892173   -0.0623348      5.80524
