# x y rho rho*u rho*v rho*E
           1            0      1.30401     0.762251   0.00022822      5.72194
    0.993927 -0.000863588      1.29834     0.773003    0.0981761      5.66306
    0.987105  -0.00181476      1.28816     0.792783     0.109298      5.58384
    0.979548  -0.00286486      1.27877     0.808597     0.111577      5.51933
    0.971138  -0.00402188      1.26973     0.820138     0.112154      5.46144
    0.961878  -0.00528228      1.26317     0.828203      0.11214       5.4205
    0.956863  -0.00595893      1.25891     0.833532     0.111962      5.39424
    0.951587  -0.00666624      1.25622     0.837067       0.1117      5.37771
    0.946069  -0.00740135      1.25504     0.839359     0.111261      5.37043
    0.940285  -0.00816656      1.25495     0.840756     0.110671      5.36971
    0.934214  -0.00896414      1.25559     0.841594     0.109975      5.37339
    0.927833  -0.00979614      1.25668     0.842152      0.10921      5.37977
    0.921143   -0.0106617      1.25801     0.842636     0.108405      5.38757
    0.914163   -0.0115575      1.25943     0.843177     0.107576      5.39596
     0.90687   -0.0124855      1.26088     0.843823     0.106727      5.40451
    0.899241   -0.0134478      1.26235     0.844561      0.10586      5.41315
    0.891252   -0.0144463      1.26384     0.845341     0.104972      5.42195
    0.882937   -0.0154758      1.26537     0.846104      0.10405      5.43099
    0.874285   -0.0165362      1.26695     0.846804     0.103085      5.44031
    0.865265   -0.0176304      1.26857     0.847422     0.102076      5.44989
    0.855861   -0.0187589      1.27022     0.847968     0.101026      5.45966
    0.846118   -0.0199151      1.27189     0.848473    0.0999365      5.46956
    0.836006   -0.0211013      1.27357     0.848981    0.0988106      5.47948
    0.825493   -0.0223196      1.27523      0.84954    0.0976526      5.48933
    0.814632   -0.0235623      1.27687     0.850186    0.0964665      5.49904
    0.803397    -0.024831       1.2785     0.850932     0.095254      5.50867
    0.791767   -0.0261265      1.28014     0.851766    0.0940098       5.5184
    0.779797   -0.0274409      1.28183     0.852656    0.0927301      5.52843
     0.76744   -0.0287775      1.28359     0.853572    0.0914111      5.53888
    0.754737   -0.0301304      1.28542     0.854499    0.0900444      5.54979
    0.741687   -0.0314974      1.28733     0.855431    0.0886265      5.56113
    0.728282   -0.0328778      1.28929     0.856381    0.0871545      5.57286
    0.714568   -0.0342646      1.29132     0.857361    0.0856259      5.58495
    0.700516   -0.0356586      1.29341     0.858383    0.0840389      5.59744
    0.686185   -0.0370519      1.29558     0.859455    0.0823884      5.61041
