# x y rho rho*u rho*v rho*E
           1            0      1.37866     0.734236 -5.56678e-05       6.1848
   0.0292132   -0.0279262      1.58909     0.676776    -0.293609      7.86014
   0.0262482   -0.0266046      1.60712     0.654194    -0.303113      7.99711
   0.0234718    -0.025281      1.62643     0.629837     -0.31223      8.14361
   0.0208714   -0.0239524      1.64737     0.603586    -0.320767      8.30231
   0.0184371    -0.022616         1.67     0.575225    -0.328493      8.47369
   0.0161741    -0.021277      1.69407     0.544666    -0.335099      8.65636
   0.0140878   -0.0199426      1.71932     0.511978    -0.340287      8.84859
   0.0121676    -0.018611       1.7457     0.477202    -0.343756      9.05012
   0.0104019   -0.0172781      1.77304     0.440324    -0.345305      9.25967
  0.00877999   -0.0159379      1.80136     0.401342    -0.344658      9.47719
  0.00730267   -0.0145919      1.83087     0.360253    -0.341451      9.70402
  0.00598617   -0.0132604      1.86576     0.316047    -0.334391      9.97111
  0.00481744   -0.0119392       1.9223     0.262584    -0.318986      10.4016
  0.00288349  -0.00930328      1.99049     0.195527    -0.289693      10.9245
   0.0015016   -0.0067572      2.04781     0.125574    -0.240825      11.3678
 0.000605628  -0.00431673      2.08815    0.0686822    -0.172073      11.6798
 0.000135675  -0.00205463      2.10593    0.0327285   -0.0913081      11.8158
           0            0      2.10935    0.0203408  -0.00471454      11.8397
 0.000135645   0.00205549      2.10654    0.0314105    0.0819644      11.8145
 0.000605419   0.00431899      2.09011    0.0662097     0.163035      11.6822
   0.0014974   0.00674994      2.05257     0.122817     0.233248      11.3841
  0.00289024   0.00931457      1.99623     0.193588     0.285307      10.9422
  0.00481145    0.0119343      1.92704     0.262073     0.317574      10.4091
   0.0059935    0.0132704      1.87011     0.316856     0.334449      9.97549
  0.00731802    0.0146072      1.83454     0.361816     0.342452      9.70394
  0.00877714    0.0159355      1.80492     0.403064     0.346208      9.47774
   0.0103903    0.0172701      1.77711     0.442264     0.347075      9.26571
   0.0121676    0.0186127      1.74975     0.479642     0.345606      9.05798
   0.0141048    0.0199552      1.72304     0.514904     0.342109      8.85607
   0.0161979     0.021292      1.69751     0.547806     0.336931      8.66379
   0.0184445    0.0226203      1.67357     0.578306     0.330361        8.484
   0.0208599    0.0239467      1.65138      0.60659     0.322637      8.31737
   0.0234627    0.0252773       1.6308     0.632865     0.313986      8.16271
   0.0262532    0.0266079       1.6117     0.657297     0.304692      8.01876
   0.0292331    0.0279355      1.59392     0.680027     0.294998      7.88431
   0.0324057    0.0292585      1.57748     0.701257     0.285089      7.75938
   0.0357768    0.0305761      1.56237      0.72098     0.275011      7.64399
   0.0393533    0.0318878      1.54843     0.739296     0.264806      7.53695
   0.0431441    0.0331935      1.53515     0.756469      0.25463      7.43457
   0.0471643    0.0344945       1.5222     0.772646     0.244538      7.33463
   0.0514234    0.0357899      1.50958      0.78787     0.234513      7.23716
   0.0559282    0.0370777       1.4974     0.802128     0.224542      7.14296
   0.0606869    0.0383559      1.48581     0.815401     0.214613      7.05311
    0.065708    0.0396228      1.47492      0.82769     0.204725      6.96833
   0.0710005    0.0408766      1.46476     0.839022     0.194888      6.88892
   0.0765737    0.0421151      1.45533     0.849459     0.185121      6.81476
   0.0824372    0.0433362      1.44652     0.859091     0.175452      6.74513
   0.0886012    0.0445377      1.43818     0.868002     0.165911      6.67902
   0.0950763    0.0457172      1.43014     0.876223     0.156521      6.61544
    0.101874    0.0468722      1.42235     0.883726     0.147276      6.55398
    0.108996    0.0479985      1.41489     0.890526     0.138116      6.49519
    0.116447    0.0490926      1.40788      0.89667     0.129032      6.43964
    0.124234    0.0501512      1.40126     0.902185     0.120081      6.38707
    0.132368    0.0511714      1.39497     0.907111     0.111288      6.33695
    0.140859    0.0521502      1.38896     0.911478     0.102651      6.28909
    0.149725     0.053085      1.38324     0.915323    0.0941734       6.2436
    0.158968    0.0539717      1.37784     0.918696    0.0858625      6.20064
    0.168565    0.0548039      1.37275     0.921656    0.0777276      6.16024
    0.178531    0.0555791      1.36793     0.924257    0.0697782       6.1222
    0.188887    0.0562951      1.36337     0.926535    0.0620198      6.08645
    0.199635     0.056948      1.35909     0.928513    0.0544554      6.05307
    0.210738    0.0575321      1.35511     0.930182    0.0470873      6.02222
    0.222223    0.0580457      1.35149     0.931506    0.0399158      5.99421
    0.234102    0.0584863      1.34829     0.932451     0.032938      5.96939
    0.246325    0.0588491      1.34556      0.93299    0.0261516      5.94799
    0.258924    0.0591327      1.34331     0.933118    0.0195606      5.93013
    0.271883    0.0593346      1.34155     0.932866    0.0131706      5.91566
    0.285171    0.0594526      1.34021     0.932291   0.00698448      5.90425
    0.298816    0.0594854      1.33923     0.931473   0.00100998      5.89536
    0.312761    0.0594319       1.3385      0.93049  -0.00475161      5.88833
    0.327031    0.0592911      1.33793     0.929409   -0.0102981      5.88253
    0.341575    0.0590634      1.33742     0.928271   -0.0156259      5.87741
    0.356403    0.0587486      1.33694     0.927092   -0.0207364      5.87259
    0.371473     0.058348      1.33643     0.925872   -0.0256319      5.86786
    0.386781    0.0578623      1.33589     0.924606   -0.0303138      5.86311
     0.40229    0.0572941       1.3353     0.923286   -0.0347857      5.85826
    0.417988    0.0566449      1.33465     0.921913   -0.0390513      5.85319
    0.433837    0.0559182      1.33393      0.92049   -0.0431136      5.84776
