# x y rho rho*u rho*v rho*E
           1            0      1.45274     0.707952  0.000456663      6.65082
    0.993927 -0.000863588      1.44799      0.71994    0.0906222      6.59674
    0.987105  -0.00181476      1.43676     0.741342     0.101239      6.50762
    0.979548  -0.00286486      1.42419     0.760014     0.103993      6.41932
    0.971138  -0.00402188      1.40972     0.775731     0.105309      6.32361
    0.961878  -0.00528228      1.39591     0.788938     0.106143      6.23446
    0.956863  -0.00595893      1.38262     0.800216     0.106877      6.14999
    0.951587  -0.00666624      1.36927      0.81053      0.10761      6.06597
    0.946069  -0.00740135       1.3565     0.820148     0.108218       5.9862
    0.940285  -0.00816656      1.34426     0.829106     0.108666      5.91007
    0.934214  -0.00896414      1.33256     0.837467     0.108958      5.83771
    0.927833  -0.00979614      1.32156     0.845229     0.109106      5.76993
    0.921143   -0.0106617       1.3114      0.85234     0.109117      5.70755
    0.914163   -0.0115575      1.30217     0.858751     0.108994      5.65109
     0.90687   -0.0124855       1.2939      0.86444     0.108737      5.60068
    0.899241   -0.0134478      1.28654     0.869429     0.108355      5.55598
    0.891252   -0.0144463      1.27999     0.873789     0.107857      5.51626
    0.882937   -0.0154758       1.2741     0.877619     0.107248      5.48068
    0.874285   -0.0165362      1.26879     0.881009     0.106539      5.44871
    0.865265   -0.0176304      1.26401     0.884028     0.105746      5.41992
    0.855861   -0.0187589      1.25968     0.886736     0.104879      5.39396
    0.846118   -0.0199151      1.25576     0.889188     0.103946      5.37051
    0.836006   -0.0211013       1.2522     0.891436     0.102951      5.34925
    0.825493   -0.0223196      1.24895     0.893527       0.1019      5.32994
    0.814632   -0.0235623      1.24599       0.8955     0.100798       5.3124
    0.803397    -0.024831       1.2433     0.897386    0.0996504      5.29648
    0.791767   -0.0261265      1.24086     0.899214    0.0984541      5.28212
    0.779797   -0.0274409      1.23866     0.901003    0.0972116      5.26928
     0.76744   -0.0287775      1.23671      0.90277    0.0959237      5.25791
    0.754737   -0.0301304        1.235     0.904529    0.0945845      5.24806
    0.741687   -0.0314974      1.23353     0.906295    0.0931921      5.23975
    0.728282   -0.0328778      1.23233     0.908079     0.091743      5.23306
    0.714568   -0.0342646      1.23141     0.909884    0.0902328      5.22812
    0.700516   -0.0356586      1.23078     0.911714    0.0886583      5.22503
    0.686185   -0.0370519      1.23045     0.913572    0.0870132      5.22382
     0.67155   -0.0384446       1.2304     0.915472    0.0852919      5.22441
    0.656669   -0.0398288      1.23061     0.917436    0.0834882      5.22664
    0.641525   -0.0412038      1.23103     0.919488    0.0815951      5.23029
    0.626172   -0.0425619      1.23162     0.921651    0.0796069      5.23509
    0.610605   -0.0439011      1.23232     0.923944    0.0775161      5.24078
