# x y rho rho*u rho*v rho*E
           1            0      1.41492     0.691478 -0.000401939      6.40801
    0.993927 -0.000863588      1.40766     0.702028    0.0880851      6.34054
    0.987105  -0.00181476      1.39857     0.722211     0.098732      6.26684
    0.979548  -0.00286486      1.38864     0.739641     0.101401      6.19656
    0.971138  -0.00402188      1.37694     0.754199      0.10263      6.11944
    0.961878  -0.00528228      1.36581      0.76657     0.103419      6.04811
    0.956863  -0.00595893      1.35506     0.777309     0.104153      5.98028
    0.951587  -0.00666624      1.34403     0.787319     0.104923      5.91148
    0.946069  -0.00740135      1.33326     0.797018     0.105621      5.84469
    0.940285  -0.00816656      1.32257     0.806502     0.106218      5.77874
    0.934214  -0.00896414      1.31194     0.815869     0.106715      5.71343
    0.927833  -0.00979614      1.30151     0.825119     0.107121      5.64966
    0.921143   -0.0106617      1.29151     0.834159     0.107438      5.58874
    0.914163   -0.0115575      1.28214     0.842859     0.107657      5.53191
     0.90687   -0.0124855      1.27357      0.85109     0.107768      5.48012
    0.899241   -0.0134478      1.26586     0.858766     0.107768      5.43368
    0.891252   -0.0144463       1.2589     0.865897     0.107651      5.39198
    0.882937   -0.0154758      1.25258     0.872558      0.10741      5.35431
    0.874285   -0.0165362      1.24687     0.878799     0.107054      5.32046
    0.865265   -0.0176304      1.24177     0.884646     0.106598      5.29033
    0.855861   -0.0187589      1.23723     0.890116     0.106046      5.26374
    0.846118   -0.0199151      1.23323     0.895229     0.105403      5.24046
    0.836006   -0.0211013      1.22971     0.900015     0.104671      5.22019
    0.825493   -0.0223196      1.22664     0.904506     0.103854      5.20268
    0.814632   -0.0235623      1.22396     0.908731      0.10296      5.18763
    0.803397    -0.024831      1.22163     0.912721     0.101993      5.17476
    0.791767   -0.0261265       1.2196     0.916511     0.100953      5.16377
    0.779797   -0.0274409      1.21779     0.920146     0.099843      5.15425
     0.76744   -0.0287775      1.21615     0.923662    0.0986658      5.14592
    0.754737   -0.0301304      1.21467     0.927084    0.0974188      5.13866
    0.741687   -0.0314974      1.21333     0.930424    0.0961015      5.13238
    0.728282   -0.0328778      1.21212     0.933684    0.0947113      5.12706
    0.714568   -0.0342646      1.21104     0.936858    0.0932439       5.1227
    0.700516   -0.0356586      1.21009     0.939934    0.0916955      5.11931
    0.686185   -0.0370519      1.20928     0.942905     0.090059      5.11688
     0.67155   -0.0384446      1.20858     0.945765    0.0883284      5.11535
    0.656669   -0.0398288      1.20799     0.948512    0.0864967      5.11464
    0.641525   -0.0412038      1.20749     0.951142    0.0845557      5.11466
    0.626172   -0.0425619      1.20705     0.953658     0.082499      5.11526
    0.610605   -0.0439011      1.20666     0.956062    0.0803194      5.11635
    0.594873   -0.0452147       1.2063     0.958356    0.0780104      5.11781
    0.578982   -0.0464992      1.20596     0.960542    0.0755629      5.11959
    0.562971   -0.0477487      1.20564     0.962617    0.0729672      5.12163
    0.546862   -0.0489589      1.20533     0.964578    0.0702159      5.12391
    0.530684   -0.0501245      1.20504     0.966417    0.0672998      5.12641
    0.514467   -0.0512406      1.20476     0.968123    0.0642107      5.12916
    0.498239   -0.0523027      1.20453     0.969684      0.06094      5.13224
    0.482028    -0.053306      1.20435     0.971081    0.0574792      5.13577
    0.465866    -0.054246      1.20427     0.972294    0.0538211      5.13991
    0.449777   -0.0551189      1.20431     0.973299    0.0499596      5.14484
    0.433796   -0.0559202      1.20451     0.974072    0.0458891      5.15075
     0.41794    -0.056647      1.20491     0.974588    0.0416059      5.15782
    0.402249   -0.0572957      1.20553     0.974829    0.0371081      5.16619
    0.386733    -0.057864       1.2064     0.974777    0.0323942      5.17598
    0.371432   -0.0583491      1.20753     0.974423    0.0274636      5.18727
    0.356354   -0.0587497      1.20894     0.973761    0.0223164      5.20014
    0.341537   -0.0590641      1.21063     0.972792    0.0169561       5.2146
     0.32698   -0.0592918      1.21261     0.971519    0.0113842      5.23069
    0.312727   -0.0594321       1.2149     0.969938   0.00560575      5.24848
    0.298764   -0.0594854       1.2175     0.968043 -0.000371072      5.26807
    0.285143   -0.0594524      1.22044     0.965815  -0.00654211      5.28957
    0.271835    -0.059334      1.22373     0.963238   -0.0129004      5.31307
    0.258889    -0.059132      1.22739     0.960295   -0.0194405      5.33866
    0.246293   -0.0588482      1.23143     0.956972   -0.0261517       5.3664
     0.23405   -0.0584845      1.23584     0.953256   -0.0330249      5.39632
      0.2222   -0.0580448      1.24065     0.949138   -0.0400517      5.42846
    0.210706   -0.0575304      1.24581     0.944619    -0.047222      5.46264
    0.199585    -0.056945      1.25127     0.939716   -0.0545362      5.49856
    0.188865   -0.0562936      1.25699     0.934461   -0.0619889      5.53592
    0.178512   -0.0555776       1.2629     0.928894   -0.0695753      5.57436
    0.168525   -0.0548004      1.26896     0.923048   -0.0773057      5.61363
    0.158921   -0.0539673      1.27518     0.916946   -0.0851842      5.65395
    0.149706   -0.0530832      1.28166      0.91058   -0.0931994      5.69589
     0.14085   -0.0521491      1.28847     0.903924    -0.101344      5.73993
    0.132346   -0.0511686      1.29562     0.896952    -0.109619      5.78624
    0.124197   -0.0501463      1.30313     0.889639     -0.11803      5.83494
    0.116402   -0.0490862      1.31103     0.881963    -0.126574      5.88627
    0.108956   -0.0479923       1.3194     0.873888    -0.135233      5.94079
    0.101848   -0.0468679      1.32831     0.865369    -0.143946        5.999
   0.0950675   -0.0457156      1.33771     0.856298    -0.152709      6.06071
   0.0886009   -0.0445376      1.34754     0.846603     -0.16157      6.12559
   0.0824392   -0.0433365      1.35781     0.836309    -0.170539      6.19362
   0.0765768   -0.0421156      1.36851     0.825433    -0.179611      6.26474
   0.0710042   -0.0408772       1.3796     0.813973    -0.188795      6.33875
    0.065713   -0.0396238      1.39106     0.801929    -0.198105      6.41551
   0.0606934   -0.0383573      1.40295     0.789283    -0.207544      6.49535
   0.0559355   -0.0370794      1.41536     0.775978    -0.217096      6.57888
   0.0514304   -0.0357918      1.42837     0.761916    -0.226732      6.66674
   0.0471676   -0.0344955      1.44203     0.746993    -0.236428      6.75918
   0.0431371   -0.0331911       1.4563     0.731111    -0.246169      6.85615
   0.0393302   -0.0318795      1.47117     0.714178    -0.255941      6.95756
   0.0357457   -0.0305641      1.48673     0.696074     -0.26568      7.06419
   0.0323759    -0.029246      1.50328     0.676622    -0.275254       7.1782
   0.0292132   -0.0279262      1.52116     0.655695    -0.284498      7.30204
   0.0262482   -0.0266046      1.54011     0.633126    -0.293367       7.4344
   0.0234718    -0.025281      1.56017     0.608871    -0.301822      7.57545
   0.0208714   -0.0239524      1.58165     0.582808    -0.309672      7.72749
   0.0184371    -0.022616      1.60457     0.554737    -0.316701      7.89074
   0.0161741    -0.021277      1.62867     0.524593    -0.322618      8.06371
   0.0140878   -0.0199426      1.65372      0.49246    -0.327145      8.24479
   0.0121676    -0.018611      1.67964     0.458395    -0.329998      8.43367
   0.0104019   -0.0172781      1.70628     0.422396    -0.330995       8.6291
  0.00877999   -0.0159379       1.7336     0.384484    -0.329881      8.83083
  0.00730267   -0.0145919      1.76172      0.34469    -0.326342       9.0395
  0.00598617   -0.0132604      1.79446     0.302081    -0.319174      9.28268
  0.00481744   -0.0119392      1.84725     0.250663    -0.303994      9.67322
  0.00288349  -0.00930328      1.91049     0.186265    -0.275327      10.1443
   0.0015016   -0.0067572      1.96287     0.119267    -0.227833       10.538
 0.000605628  -0.00431673      1.99908    0.0649861     -0.16142      10.8102
 0.000135675  -0.00205463      2.01429    0.0309079   -0.0837423      10.9229
           0            0       2.0164    0.0194849 -0.000795706      10.9366
 0.000135645   0.00205549      2.01289    0.0305075    0.0818922      10.9077
 0.000605419   0.00431899      1.99676    0.0641841     0.159031      10.7833
   0.0014974   0.00674994       1.9612     0.118661     0.225771      10.5111
  0.00289024   0.00931457       1.9085      0.18658     0.275115      10.1114
  0.00481145    0.0119343      1.84416     0.252172     0.305559      9.63093
   0.0059935    0.0132704      1.79137     0.304502     0.321338      9.24072
  0.00731802    0.0146072      1.75831     0.347398     0.328724      8.99592
  0.00877714    0.0159355      1.73049     0.386818     0.332164      8.79052
   0.0103903    0.0172701      1.70411     0.424369     0.332928      8.59685
   0.0121676    0.0186127      1.67795     0.460261     0.331528      8.40623
   0.0141048    0.0199552       1.6522     0.494214      0.32824      8.22012
   0.0161979     0.021292      1.62736     0.525997     0.323393      8.04189
   0.0184445    0.0226203       1.6038     0.555575     0.317255      7.87402
   0.0208599    0.0239467      1.58163      0.58313     0.310047      7.71711
   0.0234627    0.0252773      1.56073     0.608863     0.301975       7.5701
   0.0262532    0.0266079        1.541     0.632926     0.293303      7.43199
   0.0292331    0.0279355       1.5223     0.655453     0.284254      7.30184
   0.0324057    0.0292585      1.50467     0.676645     0.274999      7.17987
   0.0357768    0.0305761      1.48809     0.696497      0.26559      7.06577
   0.0393533    0.0318878       1.4724       0.7151     0.256066      6.95837
   0.0431441    0.0331935      1.45718     0.732697      0.24656      6.85471
   0.0471643    0.0344945      1.44221     0.749421     0.237117      6.75318
   0.0514234    0.0357899      1.42753      0.76531      0.22772      6.65403
   0.0559282    0.0370777      1.41324     0.780354     0.218357      6.55802
   0.0606869    0.0383559      1.39951     0.794533     0.209019       6.4661
    0.065708    0.0396228      1.38643     0.807844     0.199705      6.37891
   0.0710005    0.0408766      1.37406     0.820307     0.190421      6.29683
   0.0765737    0.0421151      1.36245     0.831972     0.181179      6.21993
   0.0824372    0.0433362      1.35154     0.842921     0.172001      6.14786
   0.0886012    0.0445377      1.34124     0.853238     0.162917      6.07998
   0.0950763    0.0457172      1.33144     0.862952     0.153949      6.01558
    0.101874    0.0468722      1.32206     0.872043     0.145095      5.95424
    0.108996    0.0479985      1.31316     0.880551     0.136304      5.89629
    0.116447    0.0490926      1.30485     0.888547     0.127568      5.84228
    0.124234    0.0501512      1.29711     0.896053     0.118938      5.79207
    0.132368    0.0511714      1.28988     0.903103     0.110432      5.74526
    0.140859    0.0521502      1.28313     0.909733     0.102051      5.70161
    0.149725     0.053085      1.27684     0.915977    0.0937974      5.66091
    0.158968    0.0539717      1.27095      0.92187    0.0856814      5.62281
    0.168565    0.0548039       1.2654     0.927444    0.0777093      5.58686
    0.178531    0.0555791      1.26011     0.932728     0.069886      5.55252
    0.188887    0.0562951      1.25504     0.937742     0.062213      5.51942
    0.199635     0.056948      1.25014     0.942503    0.0546915      5.48736
    0.210738    0.0575321      1.24542     0.947011    0.0473251      5.45623
    0.222223    0.0580457      1.24088     0.951249    0.0401187      5.42608
    0.234102    0.0584863      1.23655     0.955194    0.0330732      5.39701
    0.246325    0.0588491      1.23245     0.958821    0.0261885      5.36921
    0.258924    0.0591327      1.22861     0.962107     0.019471      5.34289
    0.271883    0.0593346      1.22507     0.965036    0.0129276      5.31819
    0.285171    0.0594526      1.22184     0.967603   0.00656223      5.29526
    0.298816    0.0594854      1.21895     0.969812  0.000384667      5.27418
    0.312761    0.0594319      1.21638     0.971679  -0.00560111      5.25494
    0.327031    0.0592911      1.21412     0.973229   -0.0113889      5.23745
    0.341575    0.0590634      1.21216     0.974478   -0.0169699      5.22159
    0.356403    0.0587486      1.21046     0.975439   -0.0223403      5.20723
    0.371473     0.058348      1.20902     0.976116   -0.0274977      5.19427
    0.386781    0.0578623      1.20782     0.976515   -0.0324392      5.18269
     0.40229    0.0572941      1.20685      0.97664   -0.0371655      5.17241
    0.417988    0.0566449       1.2061     0.976505   -0.0416785      5.16334
    0.433837    0.0559182      1.20553     0.976129   -0.0459794      5.15538
    0.449823    0.0551164      1.20513     0.975531   -0.0500707      5.14836
    0.465908    0.0542437      1.20486     0.974731   -0.0539546      5.14213
    0.482073    0.0533033      1.20469     0.973745   -0.0576371      5.13654
    0.498282       0.0523      1.20459     0.972587   -0.0611239      5.13145
     0.51451    0.0512378      1.20456     0.971266   -0.0644207       5.1268
    0.530727    0.0501215      1.20456      0.96979   -0.0675355      5.12251
    0.546904    0.0489558      1.20461     0.968156   -0.0704751      5.11858
    0.563011    0.0477457       1.2047     0.966364   -0.0732473      5.11506
    0.579024    0.0464958      1.20484      0.96441   -0.0758609      5.11203
    0.594908    0.0452117      1.20505     0.962294   -0.0783225      5.10957
    0.610649    0.0438975      1.20534     0.960019   -0.0806409      5.10775
    0.626203    0.0425592      1.20571     0.957586   -0.0828255      5.10663
    0.641569    0.0411998      1.20617     0.955008   -0.0848852      5.10626
    0.656696    0.0398263      1.20674     0.952298   -0.0868271      5.10668
    0.671593    0.0384405      1.20741     0.949475   -0.0886587      5.10789
    0.686209    0.0370496      1.20817     0.946551   -0.0903892      5.10988
    0.700559    0.0356544      1.20904     0.943532   -0.0920249      5.11267
    0.714587    0.0342626      1.21003     0.940417   -0.0935725      5.11636
    0.728322    0.0328737      1.21116     0.937209   -0.0950386      5.12106
    0.741707    0.0314954      1.21243     0.933918   -0.0964298       5.1268
    0.754768    0.0301271      1.21386     0.930547   -0.0977489      5.13365
    0.767474     0.028774      1.21547     0.927097   -0.0989974      5.14169
    0.779812    0.0274393      1.21727      0.92356     -0.10018      5.15098
    0.791807    0.0261221      1.21927     0.919916    -0.101296      5.16168
    0.803406    0.0248301      1.22153     0.916138    -0.102343      5.17398
    0.814655    0.0235596      1.22408     0.912184     -0.10332      5.18818
    0.825531    0.0223151      1.22697     0.908014    -0.104223      5.20452
    0.836007    0.0211011      1.23025     0.903587    -0.105046      5.22328
    0.846138    0.0199128      1.23397     0.898849    -0.105781      5.24479
    0.855899    0.0187545      1.23821     0.893747    -0.106423       5.2695
    0.865266    0.0176303      1.24303     0.888231    -0.106967      5.29784
     0.87429    0.0165355      1.24851     0.882268    -0.107411      5.33018
    0.882968    0.0154718      1.25466     0.875846    -0.107749      5.36675
    0.891282    0.0144426      1.26149     0.868948    -0.107966      5.40755
    0.899232    0.0134489      1.26899     0.861529     -0.10805      5.45259
     0.90687    0.0124855      1.27726     0.853492    -0.108001      5.50248
    0.914188    0.0115543      1.28643     0.844788    -0.107822      5.55797
    0.921177    0.0106573      1.29647     0.835464    -0.107513      5.61907
    0.927834   0.00979592      1.30728     0.825625    -0.107084      5.68511
    0.934199   0.00896602      1.31867     0.815388    -0.106546      5.75504
    0.940285   0.00816656      1.33047     0.804863    -0.105906      5.82777
    0.946093   0.00739817       1.3425     0.794143    -0.105189      5.90235
     0.95162   0.00666186      1.35401     0.782872    -0.104489      5.97431
    0.961858   0.00528489      1.36593     0.770129    -0.103784      6.04958
    0.971168   0.00401781      1.37936     0.755673    -0.102868      6.13548
    0.979529   0.00286746      1.39268     0.739794    -0.101517      6.22282
    0.987085   0.00181761      1.40319     0.721794   -0.0990259      6.29651
    0.993899  0.000862226      1.41232     0.701751   -0.0886034      6.36989
      1.0014  6.04128e-07      1.42359     0.691208 -0.000591313      6.46017
    0.994129  -0.00229329      1.41344     0.701477    0.0827473      6.37675
    0.987311  -0.00329283      1.40029     0.721537     0.096415      6.27772
     0.97976  -0.00439562      1.38919     0.739224     0.100324      6.20007
    0.971356  -0.00561047      1.37725     0.753988     0.101973       6.1214
    0.962102  -0.00693342      1.36606     0.766473     0.102915      6.04964
