# x y rho rho*u rho*v rho*E
           1            0      1.37741      0.84754  2.97535e-05      6.11576
    0.993927 -0.000863588      1.37632      0.84753    0.0167953      6.10872
    0.987105  -0.00181476      1.37511     0.847524    0.0176838      6.10136
    0.979548  -0.00286486      1.37487     0.847522    0.0178596      6.09987
    0.971138  -0.00402188      1.37481     0.847557    0.0179036      6.09946
    0.961878  -0.00528228      1.37678     0.847791    0.0165045      6.11119
    0.956863  -0.00595893      1.37872     0.847981    0.0151295      6.12273
    0.951587  -0.00666624      1.37868      0.84797    0.0151504       6.1225
    0.946069  -0.00740135      1.37865      0.84798    0.0151796      6.12223
    0.940285  -0.00816656      1.37861      0.84799    0.0152089      6.12196
    0.934214  -0.00896414      1.37857     0.848001    0.0152363       6.1217
    0.927833  -0.00979614      1.37855     0.848015    0.0152521      6.12154
    0.921143   -0.0106617      1.37856     0.848032    0.0152447      6.12157
    0.914163   -0.0115575       1.3786     0.848051    0.0152228      6.12173
     0.90687   -0.0124855      1.37863     0.848071    0.0152002      6.12189
    0.899241   -0.0134478      1.37866     0.848091    0.0151835        6.122
    0.891252   -0.0144463       1.3787     0.848112    0.0151593      6.12217
    0.882937   -0.0154758      1.37876     0.848136     0.015117      6.12249
    0.874285   -0.0165362      1.37883     0.848161    0.0150693      6.12285
    0.865265   -0.0176304       1.3789     0.848187    0.0150171      6.12326
    0.855861   -0.0187589      1.37901     0.848215    0.0149454      6.12382
    0.846118   -0.0199151      1.37913     0.848246    0.0148581      6.12452
    0.836006   -0.0211013      1.37926     0.848277     0.014769      6.12523
    0.825493   -0.0223196      1.37941     0.848311    0.0146639      6.12608
    0.814632   -0.0235623      1.37958     0.848347    0.0145431      6.12705
    0.803397    -0.024831      1.37975     0.848382     0.014425      6.12801
    0.791767   -0.0261265      1.37993     0.848419    0.0143018        6.129
    0.779797   -0.0274409      1.38011     0.848457     0.014171      6.13006
     0.76744   -0.0287775      1.38031     0.848495    0.0140308       6.1312
    0.754737   -0.0301304      1.38054     0.848536    0.0138737      6.13248
    0.741687   -0.0314974      1.38077     0.848578    0.0137058      6.13385
    0.728282   -0.0328778      1.38103     0.848622    0.0135222      6.13535
    0.714568   -0.0342646      1.38131     0.848668    0.0133248      6.13697
    0.700516   -0.0356586       1.3816     0.848714    0.0131194      6.13866
    0.686185   -0.0370519      1.38191     0.848762     0.012907       6.1404
