# x y rho rho*u rho*v rho*E
           1            0      1.27793     0.787865 -4.02136e-05      5.55814
    0.993927 -0.000863588      1.27155     0.796796     0.101125      5.49542
    0.987105  -0.00181476       1.2625     0.812768     0.112035      5.42535
    0.979548  -0.00286486      1.25567     0.823811     0.113577      5.37877
    0.971138  -0.00402188      1.25032     0.830375     0.113408      5.34481
    0.961878  -0.00528228      1.24774     0.833952     0.112776      5.32878
    0.956863  -0.00595893      1.24709     0.835657     0.112112      5.32462
    0.951587  -0.00666624      1.24731     0.836466     0.111472      5.32575
    0.946069  -0.00740135      1.24822     0.836912     0.110779        5.331
    0.940285  -0.00816656      1.24955     0.837229     0.110061      5.33881
    0.934214  -0.00896414      1.25116     0.837516     0.109333      5.34827
    0.927833  -0.00979614       1.2529      0.83779     0.108587      5.35854
    0.921143   -0.0106617      1.25462      0.83804     0.107806       5.3687
    0.914163   -0.0115575      1.25618     0.838273     0.106974      5.37786
     0.90687   -0.0124855      1.25749     0.838534     0.106085      5.38558
    0.899241   -0.0134478       1.2586     0.838872     0.105154      5.39206
    0.891252   -0.0144463      1.25964     0.839298     0.104199      5.39809
    0.882937   -0.0154758      1.26072     0.839777     0.103224      5.40444
    0.874285   -0.0165362      1.26192     0.840268     0.102224      5.41147
    0.865265   -0.0176304      1.26325     0.840759     0.101198      5.41926
    0.855861   -0.0187589      1.26471     0.841255     0.100148      5.42785
    0.846118   -0.0199151      1.26631     0.841756    0.0990742      5.43731
    0.836006   -0.0211013      1.26805     0.842247    0.0979741      5.44762
    0.825493   -0.0223196      1.26989     0.842708    0.0968398      5.45849
    0.814632   -0.0235623      1.27172     0.843137    0.0956603      5.46932
    0.803397    -0.024831      1.27346     0.843565    0.0944301      5.47959
    0.791767   -0.0261265      1.27512     0.844032    0.0931505      5.48937
    0.779797   -0.0274409      1.27677     0.844552    0.0918313      5.49918
     0.76744   -0.0287775      1.27852     0.845106    0.0904787       5.5095
    0.754737   -0.0301304      1.28037     0.845671     0.089086       5.5205
    0.741687   -0.0314974      1.28233     0.846236    0.0876474      5.53211
    0.728282   -0.0328778      1.28437     0.846808    0.0861585      5.54423
    0.714568   -0.0342646      1.28648     0.847395    0.0846155      5.55678
    0.700516   -0.0356586      1.28866     0.848003    0.0830151      5.56977
    0.686185   -0.0370519      1.29093     0.848635    0.0813513      5.58327
     0.67155   -0.0384446       1.2933      0.84929    0.0796196      5.59742
    0.656669   -0.0398288      1.29578     0.849964     0.077814      5.61226
    0.641525   -0.0412038      1.29837     0.850657    0.0759264      5.62778
    0.626172   -0.0425619      1.30108     0.851376    0.0739515        5.644
    0.610605   -0.0439011      1.30391     0.852121    0.0718836      5.66098
    0.594873   -0.0452147      1.30687     0.852894    0.0697157      5.67875
    0.578982   -0.0464992      1.30997     0.853695    0.0674389      5.69741
    0.562971   -0.0477487      1.31324     0.854522    0.0650445      5.71709
    0.546862   -0.0489589      1.31668     0.855373    0.0625256      5.73783
    0.530684   -0.0501245      1.32029     0.856249    0.0598739      5.75967
    0.514467   -0.0512406      1.32408     0.857147    0.0570817      5.78265
    0.498239   -0.0523027      1.32807     0.858067    0.0541412       5.8068
    0.482028    -0.053306      1.33225     0.859004    0.0510443      5.83221
    0.465866    -0.054246      1.33663     0.859954    0.0477836      5.85892
    0.449777   -0.0551189      1.34123     0.860912    0.0443525      5.88698
    0.433796   -0.0559202      1.34604     0.861871     0.040744       5.9164
     0.41794    -0.056647      1.35106     0.862826    0.0369531      5.94722
    0.402249   -0.0572957      1.35631     0.863768    0.0329754      5.97948
    0.386733    -0.057864      1.36178     0.864689    0.0288056      6.01323
    0.371432   -0.0583491       1.3675     0.865581    0.0244395      6.04855
    0.356354   -0.0587497      1.37346     0.866437    0.0198726       6.0855
    0.341537   -0.0590641      1.37967     0.867251    0.0151034       6.1241
     0.32698   -0.0592918      1.38613     0.868019    0.0101282       6.1644
    0.312727   -0.0594321      1.39285     0.868736    0.0049459      6.20648
    0.298764   -0.0594854      1.39986     0.869398 -0.000441652      6.25043
    0.285143   -0.0594524      1.40716     0.869996  -0.00603598      6.29644
    0.271835    -0.059334      1.41478     0.870521    -0.011836      6.34462
    0.258889    -0.059132      1.42272     0.870956   -0.0178425      6.39504
    0.246293   -0.0588482      1.43097     0.871279   -0.0240531      6.44757
     0.23405   -0.0584845      1.43946     0.871482   -0.0304716      6.50192
      0.2222   -0.0580448      1.44816     0.871566   -0.0371057      6.55785
    0.210706   -0.0575304      1.45707     0.871542   -0.0439582      6.61539
    0.199585    -0.056945      1.46625     0.871405   -0.0510316        6.675
    0.188865   -0.0562936      1.47577     0.871116   -0.0583161      6.73713
    0.178512   -0.0555776      1.48565      0.87062   -0.0657996      6.80191
    0.168525   -0.0548004      1.49584     0.869876   -0.0734865      6.86915
    0.158921   -0.0539673      1.50627     0.868871   -0.0813902      6.93837
    0.149706   -0.0530832      1.51688      0.86763   -0.0895268      7.00923
     0.14085   -0.0521491      1.52771     0.866182   -0.0979138      7.08201
    0.132346   -0.0511686      1.53887     0.864519    -0.106558      7.15758
    0.124197   -0.0501463      1.55053      0.86258    -0.115447      7.23689
    0.116402   -0.0490862       1.5627     0.860297    -0.124564      7.32024
    0.108956   -0.0479923       1.5753     0.857657    -0.133914      7.40705
    0.101848   -0.0468679      1.58817     0.854715    -0.143493      7.49636
   0.0950675   -0.0457156      1.60137     0.851472    -0.153318      7.58874
   0.0886009   -0.0445376      1.61513     0.847846    -0.163412      7.68572
   0.0824392   -0.0433365       1.6295     0.843752    -0.173771      7.78795
   0.0765768   -0.0421156      1.64443     0.839106    -0.184401      7.89502
   0.0710042   -0.0408772      1.65977     0.833853    -0.195327      8.00614
    0.065713   -0.0396238      1.67541     0.827954    -0.206583      8.12087
   0.0606934   -0.0383573      1.69142     0.821383    -0.218191      8.23966
   0.0559355   -0.0370794      1.70793     0.814096    -0.230158      8.36376
   0.0514304   -0.0357918      1.72517     0.806018    -0.242481      8.49488
   0.0471676   -0.0344955      1.74336     0.797038    -0.255143      8.63479
   0.0431371   -0.0331911      1.76268     0.787002    -0.268107      8.78506
   0.0393302   -0.0318795      1.78317      0.77572    -0.281316      8.94621
   0.0357457   -0.0305641      1.80457     0.763016    -0.294722      9.11692
   0.0323759    -0.029246      1.82651     0.748768    -0.308314      9.29484
   0.0292132   -0.0279262      1.84887     0.732893     -0.32204      9.47953
   0.0262482   -0.0266046      1.87143     0.715155    -0.335789      9.66995
   0.0234718    -0.025281      1.89417     0.695098    -0.349336       9.8661
   0.0208714   -0.0239524      1.91725     0.672195    -0.362287      10.0694
   0.0184371    -0.022616      1.94023     0.645892    -0.374184      10.2773
   0.0161741    -0.021277      1.96227      0.61584    -0.384471      10.4839
   0.0140878   -0.0199426      1.98273     0.581974    -0.392582       10.685
   0.0121676    -0.018611      2.00151     0.544397    -0.398104      10.8799
   0.0104019   -0.0172781      2.01906     0.503344    -0.400836       11.072
  0.00877999   -0.0159379      2.03652     0.459142    -0.400651      11.2688
  0.00730267   -0.0145919      2.05608       0.4121    -0.397281      11.4856
  0.00598617   -0.0132604      2.08465     0.361299    -0.389387      11.7738
  0.00481744   -0.0119392      2.14168     0.300556    -0.372507      12.2861
  0.00288349  -0.00930328      2.21883     0.224077    -0.339568      12.9688
   0.0015016   -0.0067572      2.28933     0.143124    -0.282748      13.6071
 0.000605628  -0.00431673      2.34183    0.0770273    -0.201827      14.0919
 0.000135675  -0.00205463      2.36597    0.0355008    -0.105099      14.3274
           0            0      2.36803    0.0216175   0.00124011       14.359
 0.000135645   0.00205549      2.35864    0.0354605     0.106914      14.2715
 0.000605419   0.00431899      2.33137     0.076846     0.202235      14.0136
   0.0014974   0.00674994       2.2814      0.14277     0.281895      13.5483
  0.00289024   0.00931457      2.21511     0.223737     0.338682       12.941
  0.00481145    0.0119343      2.14172     0.300769     0.372361      12.2865
   0.0059935    0.0132704      2.08726     0.362294     0.389697       11.795
  0.00731802    0.0146072      2.05904     0.413456     0.398041       11.511
  0.00877714    0.0159355      2.03925     0.460208     0.401616      11.2938
   0.0103903    0.0172701      2.02161     0.504047     0.401624      11.0961
   0.0121676    0.0186127      2.00332      0.54496     0.398494      10.8981
   0.0141048    0.0199552      1.98354     0.582421     0.392554       10.695
   0.0161979     0.021292      1.96242     0.616071     0.384236      10.4882
   0.0184445    0.0226203      1.94029     0.645886     0.374006      10.2801
   0.0208599    0.0239467      1.91757      0.67215      0.36225      10.0735
   0.0234627    0.0252773      1.89462     0.695222     0.349368       9.8705
   0.0262532    0.0266079      1.87185     0.715457     0.335801      9.67369
   0.0292331    0.0279355      1.84953     0.733259     0.321953      9.48453
   0.0324057    0.0292585      1.82766     0.749105     0.308146      9.30275
   0.0357768    0.0305761      1.80602     0.763322     0.294577      9.12656
   0.0393533    0.0318878      1.78468     0.776026     0.281257      8.95622
   0.0431441    0.0331935        1.764      0.78731     0.268152      8.79374
   0.0471643    0.0344945      1.74423     0.797305      0.25526      8.64051
   0.0514234    0.0357899      1.72548     0.806191     0.242621      8.49686
   0.0559282    0.0370777      1.70767     0.814141     0.230291      8.36192
   0.0606869    0.0383559      1.69067      0.82129     0.218303      8.23459
    0.065708    0.0396228       1.6744     0.827734     0.206659      8.11402
   0.0710005    0.0408766       1.6588     0.833547     0.195349      7.99956
   0.0765737    0.0421151      1.64379     0.838794     0.184363      7.89064
   0.0824372    0.0433362       1.6293     0.843516     0.173695      7.78646
   0.0886012    0.0445377      1.61526     0.847739     0.163329      7.68647
   0.0950763    0.0457172      1.60165      0.85149     0.153247      7.59046
    0.101874    0.0468722      1.58842     0.854812     0.143439      7.49796
    0.108996    0.0479985      1.57545     0.857779     0.133874        7.408
    0.116447    0.0490926      1.56274     0.860401     0.124535      7.32049
    0.124234    0.0501512      1.55049     0.862649     0.115426      7.23665
    0.132368    0.0511714      1.53881     0.864553     0.106542      7.15714
    0.140859    0.0521502      1.52764     0.866189     0.097895      7.08156
    0.149725     0.053085      1.51683     0.867619    0.0895006      7.00886
    0.158968    0.0539717      1.50623     0.868857    0.0813614      6.93811
    0.168565    0.0548039      1.49582     0.869869      0.07346        6.869
    0.178531    0.0555791      1.48563      0.87062    0.0657733      6.80181
    0.188887    0.0562951      1.47575     0.871114    0.0582889      6.73701
    0.199635     0.056948      1.46623     0.871403    0.0510074      6.67485
    0.210738    0.0575321      1.45704     0.871542     0.043936      6.61521
    0.222223    0.0580457      1.44813     0.871563    0.0370838      6.55763
    0.234102    0.0584863      1.43943     0.871476    0.0304521      6.50169
    0.246325    0.0588491      1.43093     0.871273    0.0240338      6.44734
    0.258924    0.0591327      1.42269     0.870946    0.0178236      6.39484
    0.271883    0.0593346      1.41475     0.870511    0.0118191      6.34446
    0.285171    0.0594526      1.40714     0.869985   0.00601811       6.2963
    0.298816    0.0594854      1.39984     0.869385  0.000424805      6.25032
    0.312761    0.0594319      1.39284     0.868721  -0.00496245      6.20637
    0.327031    0.0592911      1.38611     0.868002    -0.010144       6.1643
    0.341575    0.0590634      1.37965     0.867231   -0.0151183      6.12401
    0.356403    0.0587486      1.37345     0.866413   -0.0198873      6.08543
    0.371473     0.058348      1.36749     0.865553   -0.0244538      6.04851
    0.386781    0.0578623      1.36178     0.864657   -0.0288193      6.01323
     0.40229    0.0572941      1.35631      0.86373   -0.0329881      5.97952
    0.417988    0.0566449      1.35107     0.862781   -0.0369654      5.94729
    0.433837    0.0559182      1.34605     0.861821   -0.0407556      5.91647
    0.449823    0.0551164      1.34123     0.860858   -0.0443637      5.88702
    0.465908    0.0542437      1.33663     0.859898   -0.0477941       5.8589
    0.482073    0.0533033      1.33223     0.858947   -0.0510539      5.83209
    0.498282       0.0523      1.32803     0.858012     -0.05415      5.80656
     0.51451    0.0512378      1.32403     0.857096   -0.0570892      5.78229
    0.530727    0.0501215      1.32022     0.856203   -0.0598804      5.75925
    0.546904    0.0489558      1.31661     0.855333    -0.062531       5.7374
    0.563011    0.0477457      1.31318     0.854488   -0.0650493      5.71671
    0.579024    0.0464958      1.30992     0.853669   -0.0674439      5.69711
    0.594908    0.0452117      1.30683     0.852875    -0.069721      5.67853
    0.610649    0.0438975      1.30389     0.852107   -0.0718892      5.66086
    0.626203    0.0425592      1.30108     0.851367   -0.0739579      5.64399
    0.641569    0.0411998      1.29838     0.850655   -0.0759338      5.62784
    0.656696    0.0398263      1.29579     0.849967   -0.0778205      5.61231
    0.671593    0.0384405       1.2933     0.849295    -0.079624      5.59742
    0.686209    0.0370496      1.29092     0.848639   -0.0813545      5.58322
    0.700559    0.0356544      1.28865     0.848004   -0.0830181      5.56973
    0.714587    0.0342626      1.28648     0.847393   -0.0846192      5.55679
    0.728322    0.0328737      1.28438     0.846805   -0.0861624      5.54431
    0.741707    0.0314954      1.28235     0.846232   -0.0876533      5.53226
    0.754768    0.0301271      1.28041     0.845667   -0.0890939       5.5207
    0.767474     0.028774      1.27855     0.845108   -0.0904869       5.5097
    0.779812    0.0274393      1.27678     0.844565    -0.091839      5.49924
    0.791807    0.0261221      1.27508     0.844053   -0.0931513      5.48913
