# x y rho rho*u rho*v rho*E
           1            0      1.43177     0.699503   0.00031483      6.51574
    0.993927 -0.000863588      1.42604       0.7112    0.0891147      6.45671
    0.987105  -0.00181476      1.41449     0.731777    0.0995596      6.36686
    0.979548  -0.00286486      1.40217      0.74958     0.102239      6.28103
    0.971138  -0.00402188      1.38816     0.764336     0.103478      6.18901
    0.961878  -0.00528228      1.37484     0.776554     0.104225      6.10359
    0.956863  -0.00595893      1.36194     0.787003      0.10489      6.02218
    0.951587  -0.00666624      1.34877     0.796781     0.105601      5.93989
    0.946069  -0.00740135      1.33593     0.806148     0.106233      5.86021
    0.940285  -0.00816656      1.32337     0.815128     0.106745      5.78262
    0.934214  -0.00896414      1.31113     0.823772     0.107137      5.70742
    0.927833  -0.00979614       1.2994     0.832061     0.107415      5.63568
    0.921143   -0.0106617       1.2884     0.839919     0.107582      5.56864
    0.914163   -0.0115575       1.2783     0.847259     0.107635      5.50731
     0.90687   -0.0124855       1.2692     0.854016     0.107571      5.45229
    0.899241   -0.0134478      1.26113     0.860166     0.107394      5.40366
    0.891252   -0.0144463        1.254     0.865753     0.107106      5.36084
    0.882937   -0.0154758       1.2477     0.870864     0.106705      5.32317
    0.874285   -0.0165362      1.24219     0.875575     0.106203      5.29029
    0.865265   -0.0176304      1.23741     0.879938     0.105613      5.26194
    0.855861   -0.0187589      1.23334     0.883999     0.104945      5.23784
    0.846118   -0.0199151      1.22991     0.887797     0.104202      5.21763
    0.836006   -0.0211013      1.22705     0.891374     0.103388      5.20093
    0.825493   -0.0223196      1.22471      0.89477     0.102506      5.18736
    0.814632   -0.0235623      1.22283      0.89802     0.101561      5.17653
    0.803397    -0.024831      1.22133     0.901153     0.100556      5.16809
    0.791767   -0.0261265      1.22017       0.9042    0.0994891      5.16172
    0.779797   -0.0274409      1.21929     0.907191    0.0983613       5.1571
     0.76744   -0.0287775      1.21864     0.910147    0.0971744      5.15395
    0.754737   -0.0301304       1.2182     0.913084     0.095924      5.15211
    0.741687   -0.0314974      1.21792      0.91601    0.0946082       5.1514
    0.728282   -0.0328778       1.2178      0.91893    0.0932241       5.1517
    0.714568   -0.0342646      1.21781      0.92184    0.0917674      5.15295
    0.700516   -0.0356586      1.21795     0.924733    0.0902349      5.15512
    0.686185   -0.0370519      1.21821     0.927599      0.08862      5.15814
     0.67155   -0.0384446      1.21856     0.930437    0.0869169      5.16192
    0.656669   -0.0398288        1.219     0.933244    0.0851195      5.16636
    0.641525   -0.0412038      1.21948     0.936021      0.08322      5.17128
    0.626172   -0.0425619      1.21997      0.93877    0.0812122      5.17651
    0.610605   -0.0439011      1.22045     0.941494    0.0790888      5.18187
    0.594873   -0.0452147      1.22089     0.944196     0.076843      5.18723
    0.578982   -0.0464992      1.22128     0.946874    0.0744653       5.1925
