# x y rho rho*u rho*v rho*E
           1            0      1.44249      0.71475  0.000239979       6.5865
    0.993927 -0.000863588      1.43735     0.726476    0.0919316      6.52968
    0.987105  -0.00181476      1.42682     0.748061     0.102792      6.44473
    0.979548  -0.00286486      1.41466     0.766891     0.105566       6.3591
    0.971138  -0.00402188      1.40054     0.782858     0.106885      6.26577
    0.961878  -0.00528228      1.38718     0.796474     0.107747      6.17962
    0.956863  -0.00595893      1.37478     0.808118     0.108519      6.10089
    0.951587  -0.00666624      1.36292     0.818517     0.109255      6.02629
    0.946069  -0.00740135      1.35208     0.827961     0.109823      5.95853
    0.940285  -0.00816656      1.34212     0.836547     0.110199      5.89664
    0.934214  -0.00896414      1.33303     0.844385     0.110397      5.84034
    0.927833  -0.00979614      1.32489     0.851514     0.110437      5.79006
    0.921143   -0.0106617      1.31776     0.857922     0.110334       5.7462
    0.914163   -0.0115575      1.31168     0.863594     0.110094      5.70883
     0.90687   -0.0124855      1.30659     0.868549     0.109722      5.67762
    0.899241   -0.0134478      1.30238     0.872839     0.109229      5.65187
    0.891252   -0.0144463      1.29889     0.876564     0.108626      5.63055
    0.882937   -0.0154758      1.29596     0.879837     0.107921      5.61267
    0.874285   -0.0165362      1.29349     0.882747     0.107126      5.59757
    0.865265   -0.0176304      1.29137     0.885361     0.106255      5.58469
    0.855861   -0.0187589      1.28954     0.887733     0.105318      5.57353
    0.846118   -0.0199151      1.28791      0.88991     0.104319      5.56364
    0.836006   -0.0211013      1.28642     0.891936     0.103264      5.55457
    0.825493   -0.0223196        1.285      0.89385     0.102154      5.54598
    0.814632   -0.0235623      1.28362     0.895679     0.100995      5.53763
    0.803397    -0.024831      1.28223     0.897447    0.0997891      5.52928
    0.791767   -0.0261265      1.28083     0.899168    0.0985346      5.52082
    0.779797   -0.0274409      1.27939     0.900847    0.0972322       5.5122
     0.76744   -0.0287775      1.27791     0.902481    0.0958818      5.50335
    0.754737   -0.0301304      1.27639     0.904065    0.0944762      5.49427
    0.741687   -0.0314974      1.27483     0.905591    0.0930124      5.48498
    0.728282   -0.0328778      1.27324     0.907047    0.0914863      5.47558
    0.714568   -0.0342646      1.27165     0.908416    0.0898934      5.46623
    0.700516   -0.0356586      1.27009     0.909683    0.0882308      5.45712
    0.686185   -0.0370519      1.26858     0.910836    0.0864929      5.44835
     0.67155   -0.0384446      1.26712      0.91188    0.0846743      5.43993
    0.656669   -0.0398288      1.26569     0.912837    0.0827698      5.43183
    0.641525   -0.0412038      1.26431     0.913743    0.0807749      5.42406
    0.626172   -0.0425619      1.26296     0.914645    0.0786864      5.41662
