x y rho u v p
0.010402 -0.017278 1.787867 0.606422 -0.308557 9.274256
0.008780 -0.015938 1.817681 0.571372 -0.321066 9.546448
0.007303 -0.014592 1.848224 0.532620 -0.330383 9.832442
0.005986 -0.013260 1.878995 0.488663 -0.335897 10.132227
0.004817 -0.011939 1.917769 0.430777 -0.333433 10.517334
0.002883 -0.009303 1.966110 0.350988 -0.311199 11.017470
0.001502 -0.006757 2.011058 0.266019 -0.260313 11.504999
0.000606 -0.004317 2.043731 0.200643 -0.183876 11.864834
0.000136 -0.002055 2.061970 0.164152 -0.093560 12.061525
0.000000 0.000000 2.067488 0.153659 -0.000020 12.118119
0.000136 0.002055 2.062015 0.164108 0.093483 12.061941
0.000605 0.004319 2.043703 0.200605 0.183767 11.864726
0.001497 0.006750 2.011047 0.266057 0.260312 11.504837
0.002890 0.009315 1.966152 0.350973 0.311232 11.017765
0.004811 0.011934 1.917725 0.430807 0.333395 10.517031
0.005994 0.013270 1.878760 0.489039 0.335862 10.129828
0.007318 0.014607 1.847947 0.533051 0.330354 9.829592
0.008777 0.015935 1.817724 0.571366 0.321092 9.546717
0.010390 0.017270 1.788072 0.606172 0.308637 9.276181
0.012168 0.018613 1.759362 0.637539 0.293974 9.020081
0.014105 0.019955 1.732014 0.665396 0.277932 8.781176
0.016198 0.021292 1.706313 0.689818 0.261237 8.561036
0.018445 0.022620 1.682327 0.711107 0.244403 8.359295
0.020860 0.023947 1.659935 0.729707 0.227709 8.174070
0.023463 0.025277 1.639025 0.745993 0.211348 8.003699
0.026253 0.026608 1.619587 0.760196 0.195533 7.847556
0.029233 0.027936 1.601608 0.772523 0.180432 7.705041
0.032406 0.029259 1.585023 0.783197 0.166140 7.575217
0.035777 0.030576 1.569745 0.792432 0.152698 7.457007
0.039353 0.031888 1.555672 0.800424 0.140110 7.349325
0.043144 0.033193 1.542703 0.807345 0.128354 7.251108
0.047164 0.034495 1.530737 0.813346 0.117394 7.161379
0.051423 0.035790 1.519693 0.818550 0.107198 7.079339
0.055928 0.037078 1.509504 0.823058 0.097738 7.004322
0.060687 0.038356 1.500104 0.826961 0.088978 6.935717
0.065708 0.039623 1.491431 0.830338 0.080880 6.872938
0.071000 0.040877 1.483426 0.833258 0.073402 6.815453
0.076574 0.042115 1.476034 0.835782 0.066504 6.762779
0.082437 0.043336 1.469204 0.837961 0.060144 6.714471
0.088601 0.044538 1.462891 0.839840 0.054287 6.670146
0.095076 0.045717 1.457185 0.841437 0.048999 6.630308
0.101874 0.046872 1.452439 0.842746 0.044560 6.597187
0.108996 0.047999 1.448659 0.843801 0.040966 6.570739
0.116447 0.049093 1.445295 0.844702 0.037770 6.547301
0.124234 0.050151 1.442021 0.845504 0.034708 6.524698
0.132368 0.051171 1.438822 0.846215 0.031762 6.502806
0.140859 0.052150 1.435694 0.846843 0.028928 6.481583
0.149725 0.053085 1.432638 0.847395 0.026203 6.461010
0.158968 0.053972 1.429654 0.847878 0.023585 6.441073
0.168565 0.054804 1.426743 0.848297 0.021071 6.421757
0.178531 0.055579 1.423904 0.848657 0.018660 6.403056
0.188887 0.056295 1.421140 0.848965 0.016351 6.384959
0.199635 0.056948 1.418433 0.849225 0.014127 6.367345
0.210738 0.057532 1.415774 0.849441 0.011980 6.350150
0.222223 0.058046 1.413194 0.849616 0.009932 6.333558
0.234102 0.058486 1.410715 0.849754 0.007994 6.317688
0.246325 0.058849 1.408334 0.849859 0.006164 6.302528
0.258924 0.059133 1.406054 0.849934 0.004439 6.288071
0.271883 0.059335 1.403872 0.849983 0.002816 6.274303
0.285171 0.059453 1.401789 0.850009 0.001292 6.261206
0.298816 0.059485 1.399802 0.850015 -0.000140 6.248772
0.312761 0.059432 1.397909 0.850004 -0.001495 6.236962
0.327031 0.059291 1.396103 0.849978 -0.002789 6.225746
0.341575 0.059063 1.394385 0.849939 -0.004021 6.215110
0.356403 0.058749 1.392752 0.849888 -0.005194 6.205037
0.371473 0.058348 1.391203 0.849828 -0.006308 6.195512
0.386781 0.057862 1.389734 0.849759 -0.007366 6.186511
0.402290 0.057294 1.388328 0.849684 -0.008379 6.177922
